Sentence,Output
" In 2017 , the Smithsonian launched an exhibit that contextualizes the document with artwork by Roger Shimomura"," In 2017 , the Smithsonian launched an exhibit that contextualizes the document with artwork by [Name]"
" It is said that he died in Macedonia after being attacked by the Molossian hounds of King Archelaus , and that his cenotaph near Piraeus was struck by lightningsigns of his unique powers , whether for good or ill ( according to one modern scholar , his death might have been caused instead by the harsh Macedonian winter )"," It is said that he died in Macedonia after being attacked by the Molossian hounds of King [Name] , and that his cenotaph near Piraeus was struck by lightningsigns of his unique powers , whether for good or ill ( according to one modern scholar , his death might have been caused instead by the harsh Macedonian winter )"
" Like Eris , a malevolent fairy curses a princess after not being invited to the princess 's christening"," Like [Name] , a malevolent fairy curses a princess after not being invited to the princess 's christening"
" Following his ascension , Elisha , his disciple and most devoted assistant , took over his role as leader of this school"," Following his ascension , [Name] , his disciple and most devoted assistant , took over his role as leader of this school"
" When Elias confronted Ahab , he stopped the rains for three years ( )"," When [Name] confronted [Name] , he stopped the rains for three years ( )"
 Lloyd Kaufman sees his films ' political statements as more populist and authentic than the hypocrisy of mainstream films and celebrities, [Name] sees his films ' political statements as more populist and authentic than the hypocrisy of mainstream films and celebrities
 Entropy arises directly from the Carnot cycle, Entropy arises directly from the [Name] cycle
" From another source , according to Hans Egede , when the Inuit killed a woman accused of witchcraft , they ate a portion of her heart"," From another source , according to [Name] , when the Inuit killed a woman accused of witchcraft , they ate a portion of her heart"
" Other thinkers , such as Douglas Hofstadter , dismiss this argument as incoherent"," Other thinkers , such as [Name] , dismiss this argument as incoherent"
" A second paper was submitted just four weeks later that solved the quantum harmonic oscillator , rigid rotor , and diatomic molecule problems and gave a new derivation of the Schrödinger equation"," A second paper was submitted just four weeks later that solved the quantum harmonic oscillator , rigid rotor , and diatomic molecule problems and gave a new derivation of the [Name] equation"
 Cold War repercussions manifested in a different way when Bob Dylan was booked to appear in May 1963, Cold War repercussions manifested in a different way when [Name] was booked to appear in May 1963
" It is likely the first of Paul 's letters , probably written by the end of AD 52"," It is likely the first of [Name] 's letters , probably written by the end of AD 52"
" Several past winners have gone on to achieve continued success , both locally and internationally : Bucks Fizz , formed especially for the and the eventual winners for the United Kingdom with Making Your Mind Up , continued to release hit songs through the 1980 s ; France Gall , the French singer who won for Luxembourg in as a 17-year - old with the song Poupée de cire , poupée de son , had a long career and recorded and performed into the 1990 s ; and Vicky Leandros , the Greek singer who won for Luxembourg in 1972 with Après toi , continues to record and release albums , particularly in the German language market , including an attempt to represent held in Athens"," Several past winners have gone on to achieve continued success , both locally and internationally : Bucks Fizz , formed especially for the and the eventual winners for the United Kingdom with Making Your Mind Up , continued to release hit songs through the 1980 s ; [Name] , the French singer who won for Luxembourg in as a 17-year - old with the song Poupée de cire , poupée de son , had a long career and recorded and performed into the 1990 s ; and [Name] , the Greek singer who won for Luxembourg in 1972 with Après toi , continues to record and release albums , particularly in the German language market , including an attempt to represent held in Athens"
